#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Trae Young,ATL,10,36.0,25.6,7.5,19.4,0.387,1.8,7.6,0.237,8.8,9.4,0.936,0.3,2.8,3.1,11.7,0.7,0.1,4.5,2.3
2,Nikola Jokic,DEN,10,38.7,25.1,9.9,17.0,0.582,1.1,3.7,0.297,4.2,5.7,0.737,2.4,11.8,14.2,11.2,1.5,0.7,4.1,2.8
3,Tyrese Haliburton,IND,10,33.5,21.7,8.0,14.5,0.552,3.8,7.5,0.507,1.9,1.9,1.0,0.4,2.6,3.0,10.9,2.1,0.3,1.5,1.1
4,James Harden,LAC,10,38.7,25.5,7.1,19.0,0.374,3.6,10.8,0.333,7.7,9.4,0.819,1.0,4.7,5.7,9.4,1.4,0.4,4.6,1.7
5,Luka Doncic,LAL,10,36.2,26.4,8.2,20.6,0.398,3.3,10.0,0.33,6.7,8.7,0.77,1.0,8.2,9.2,8.8,2.1,0.4,4.4,2.4
6,Cade Cunningham,DET,10,34.3,26.9,9.6,19.4,0.495,2.2,5.5,0.4,5.5,6.2,0.887,0.4,5.0,5.4,8.3,1.4,0.7,5.2,3.5
7,Josh Giddey,CHI,10,34.6,22.5,7.5,14.4,0.521,2.4,4.4,0.545,5.1,6.0,0.85,2.1,7.9,10.0,7.9,1.0,1.0,3.0,2.3
8,Ja Morant,MEM,10,33.6,25.4,8.5,20.3,0.419,1.5,6.7,0.224,6.9,7.8,0.885,0.4,2.6,3.0,7.5,1.1,0.0,3.8,3.3
9,Jayson Tatum,BOS,10,38.0,28.8,10.3,22.1,0.466,3.6,11.1,0.324,4.6,5.5,0.836,1.2,8.9,10.1,7.4,0.8,0.5,3.8,2.6
10,Chris Paul,SAS,10,25.9,7.6,2.6,5.7,0.456,1.9,4.0,0.475,0.5,0.6,0.833,0.3,1.6,1.9,7.3,1.3,0.3,1.3,1.4
11,Devin Booker,PHX,10,38.5,24.9,9.0,18.6,0.484,2.8,7.7,0.364,4.1,4.8,0.854,1.0,3.4,4.4,7.2,0.9,0.1,3.4,3.7
12,Draymond Green,GOS,10,30.3,10.6,3.6,8.4,0.429,0.7,2.6,0.269,2.7,3.4,0.794,1.6,6.1,7.7,7.2,1.7,0.5,2.3,3.0
