#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Victor Wembanyama,SAS,10,33.5,23.6,8.6,17.6,0.489,2.6,7.5,0.347,3.8,4.7,0.809,1.8,10.1,11.9,3.5,1.3,3.2,2.5,2.6
2,Daniel Gafford,DAL,10,28.2,13.0,5.2,7.9,0.658,0.0,0.0,0.0,2.6,3.4,0.765,3.8,5.7,9.5,2.3,0.3,3.1,1.4,3.2
3,Walker Kessler,UTA,10,31.2,13.0,5.7,7.3,0.781,0.0,0.0,0.0,1.6,3.1,0.516,5.3,8.8,14.1,2.0,0.8,2.9,1.6,1.8
4,Chet Holmgren,OKC,10,27.6,14.7,5.3,10.9,0.486,1.3,3.9,0.333,2.8,4.0,0.7,2.2,6.6,8.8,1.8,0.7,2.6,1.4,2.3
5,Anthony Davis,DAL,10,31.8,25.0,10.0,18.3,0.546,0.6,2.2,0.273,4.4,5.6,0.786,3.6,8.8,12.4,3.2,1.1,2.2,1.8,1.6
6,Nicolas Claxton,BRK,10,29.4,10.0,4.5,8.1,0.556,0.0,0.2,0.0,1.0,2.0,0.5,2.6,4.0,6.6,3.5,0.8,2.1,1.2,2.6
7,Isaiah Stewart II,DET,10,19.0,5.7,2.1,3.9,0.538,0.1,0.5,0.2,1.4,2.4,0.583,1.5,3.8,5.3,1.6,0.2,2.1,1.0,2.3
8,Kristaps Porzingis,BOS,10,31.1,19.3,6.7,14.5,0.462,2.6,6.5,0.4,3.3,4.5,0.733,1.1,5.2,6.3,2.2,1.4,2.0,1.7,3.3
9,Kyshawn George,WAS,10,31.2,10.3,3.5,9.9,0.354,2.0,6.0,0.333,1.3,1.7,0.765,0.5,4.7,5.2,3.8,1.2,1.9,2.3,3.2
10,Robert Williams,POR,10,18.1,4.1,1.9,3.6,0.528,0.0,0.1,0.0,0.3,0.4,0.75,1.7,4.8,6.5,0.9,0.5,1.9,0.9,2.2
11,Dereck Lively II,DAL,10,24.0,9.6,4.4,6.3,0.698,0.0,0.0,0.0,0.8,1.0,0.8,3.4,4.8,8.2,3.1,0.5,1.8,1.1,3.0
12,Donovan Clingan,POR,10,24.0,7.4,3.0,5.8,0.517,0.1,0.7,0.143,1.3,2.6,0.5,3.3,6.0,9.3,2.3,0.5,1.8,1.2,3.3
13,"Jaren Jackson, Jr.",MEM,10,28.1,19.3,6.9,14.2,0.486,1.3,3.9,0.333,4.2,5.9,0.712,0.7,3.9,4.6,1.8,1.1,1.8,2.0,3.5
14,Rudy Gobert,MIN,10,32.7,14.8,5.9,8.6,0.686,0.0,0.0,0.0,3.0,4.3,0.698,4.8,6.6,11.4,2.4,0.9,1.7,1.3,2.2
15,Myles Turner,IND,10,31.1,17.1,5.7,11.6,0.491,2.6,6.5,0.4,3.1,3.7,0.838,0.5,5.1,5.6,2.1,0.9,1.7,1.2,2.2
16,Evan Mobley,CLE,10,31.2,18.7,7.0,12.4,0.565,1.1,3.5,0.314,3.6,5.1,0.706,2.8,7.3,10.1,3.6,0.8,1.6,2.8,1.8
17,Brook Lopez,MIL,10,31.5,13.5,4.8,9.0,0.533,1.3,4.1,0.317,2.6,2.9,0.897,2.0,4.4,6.4,1.7,0.5,1.6,0.8,2.3
18,Isaiah Jackson,IND,5,16.8,7.0,2.8,4.6,0.609,0.0,0.0,0.0,1.4,2.8,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8
19,P.J. Washington,DAL,10,31.0,15.6,5.5,12.9,0.426,1.8,4.4,0.409,2.8,3.9,0.718,2.0,7.2,9.2,3.0,1.0,1.5,2.1,2.6
20,Zach Edey,MEM,10,21.8,8.6,3.7,6.4,0.578,0.1,0.1,1.0,1.1,1.5,0.733,4.6,3.9,8.5,0.6,0.3,1.5,1.0,2.6
