#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Nikola Jokic,DEN,10,38.7,25.1,9.9,17.0,0.582,1.1,3.7,0.297,4.2,5.7,0.737,2.4,11.8,14.2,11.2,1.5,0.7,4.1,2.8
2,Walker Kessler,UTA,10,31.2,13.0,5.7,7.3,0.781,0.0,0.0,0.0,1.6,3.1,0.516,5.3,8.8,14.1,2.0,0.8,2.9,1.6,1.8
3,Domantas Sabonis,SAC,10,30.7,14.6,5.9,10.2,0.578,0.5,1.9,0.263,2.3,3.6,0.639,3.9,9.5,13.4,4.8,0.5,0.2,3.0,3.0
4,Ivica Zubac,LAC,10,37.0,20.2,9.3,14.2,0.655,0.0,0.0,0.0,1.6,2.8,0.571,3.5,9.0,12.5,2.8,0.4,1.3,1.3,3.3
5,Giannis Antetokounmpo,MIL,10,30.9,26.9,10.5,18.0,0.583,0.2,0.9,0.222,5.7,8.4,0.679,2.7,9.7,12.4,6.0,0.9,0.7,2.7,2.5
6,Anthony Davis,DAL,10,31.8,25.0,10.0,18.3,0.546,0.6,2.2,0.273,4.4,5.6,0.786,3.6,8.8,12.4,3.2,1.1,2.2,1.8,1.6
7,Victor Wembanyama,SAS,10,33.5,23.6,8.6,17.6,0.489,2.6,7.5,0.347,3.8,4.7,0.809,1.8,10.1,11.9,3.5,1.3,3.2,2.5,2.6
8,Karl-Anthony Towns,NYK,10,37.3,23.5,8.4,17.3,0.486,2.4,5.9,0.407,4.3,5.5,0.782,2.5,9.1,11.6,2.1,1.1,0.5,3.1,3.6
9,Rudy Gobert,MIN,10,32.7,14.8,5.9,8.6,0.686,0.0,0.0,0.0,3.0,4.3,0.698,4.8,6.6,11.4,2.4,0.9,1.7,1.3,2.2
10,Deandre Ayton,POR,10,31.8,17.1,7.5,13.1,0.573,0.0,0.4,0.0,2.1,2.9,0.724,4.0,6.8,10.8,2.1,0.8,1.0,1.6,2.4
11,Jalen Duren,DET,10,26.4,13.3,5.2,7.4,0.703,0.0,0.0,0.0,2.9,4.3,0.674,2.8,7.9,10.7,2.4,1.2,1.3,1.6,3.6
12,LeBron James,LAL,10,36.6,28.3,10.7,20.5,0.522,2.5,7.3,0.342,4.4,5.4,0.815,1.7,8.8,10.5,6.4,1.0,1.1,4.2,1.6
13,Onyeka Okongwu,ATL,10,31.1,14.9,6.1,10.7,0.57,0.8,1.8,0.444,1.9,2.6,0.731,4.2,6.2,10.4,2.6,0.9,1.0,1.2,2.6
14,Mark Williams,CHA,10,27.5,15.0,6.0,10.4,0.577,0.0,0.0,0.0,3.0,3.7,0.811,2.5,7.9,10.4,1.7,0.7,1.3,1.7,2.3
15,Josh Hart,NYK,10,39.2,13.4,4.8,10.9,0.44,1.0,3.3,0.303,2.8,3.7,0.757,1.9,8.5,10.4,5.1,0.8,0.4,2.9,2.5
16,Jayson Tatum,BOS,10,38.0,28.8,10.3,22.1,0.466,3.6,11.1,0.324,4.6,5.5,0.836,1.2,8.9,10.1,7.4,0.8,0.5,3.8,2.6
17,Evan Mobley,CLE,10,31.2,18.7,7.0,12.4,0.565,1.1,3.5,0.314,3.6,5.1,0.706,2.8,7.3,10.1,3.6,0.8,1.6,2.8,1.8
18,Nikola Vucevic,CHI,10,30.9,15.0,6.0,12.9,0.465,1.4,3.8,0.368,1.6,2.0,0.8,2.1,8.0,10.1,2.9,0.6,0.4,2.3,2.3
19,Josh Giddey,CHI,10,34.6,22.5,7.5,14.4,0.521,2.4,4.4,0.545,5.1,6.0,0.85,2.1,7.9,10.0,7.9,1.0,1.0,3.0,2.3
20,Amen Thompson,HOU,10,36.5,15.0,6.6,11.4,0.579,0.3,1.2,0.25,1.5,2.7,0.556,3.2,6.7,9.9,5.5,0.7,1.3,2.2,1.9
21,Jalen Johnson,ATL,10,32.9,16.7,6.8,13.7,0.496,0.5,2.7,0.185,2.6,3.5,0.743,1.8,7.9,9.7,4.0,2.0,0.6,2.1,1.6
22,Jonas Valanciunas,SAC,10,22.6,11.3,4.7,8.3,0.566,0.1,0.5,0.2,1.8,2.3,0.783,2.8,6.9,9.7,3.0,1.1,0.9,1.0,2.7
23,Bobby Portis,MIL,10,25.7,14.1,5.6,12.6,0.444,1.1,3.5,0.314,1.8,2.0,0.9,2.1,7.6,9.7,2.8,0.3,0.6,1.2,2.3
24,Bam Adebayo,MIA,10,36.9,21.5,8.1,15.0,0.54,1.0,3.1,0.323,4.3,5.1,0.843,2.0,7.5,9.5,4.6,1.8,0.2,1.9,2.0
25,Alperen Sengun,HOU,10,33.6,21.4,8.0,14.2,0.563,0.3,0.7,0.429,5.1,7.4,0.689,3.5,6.0,9.5,5.2,0.7,1.0,4.1,3.3
26,Daniel Gafford,DAL,10,28.2,13.0,5.2,7.9,0.658,0.0,0.0,0.0,2.6,3.4,0.765,3.8,5.7,9.5,2.3,0.3,3.1,1.4,3.2
27,Kel'el Ware,MIA,10,26.8,8.6,3.9,7.1,0.549,0.2,1.6,0.125,0.6,0.9,0.667,2.6,6.8,9.4,1.6,0.8,1.3,1.5,2.4
28,Donovan Clingan,POR,10,24.0,7.4,3.0,5.8,0.517,0.1,0.7,0.143,1.3,2.6,0.5,3.3,6.0,9.3,2.3,0.5,1.8,1.2,3.3
29,Luka Doncic,LAL,10,36.2,26.4,8.2,20.6,0.398,3.3,10.0,0.33,6.7,8.7,0.77,1.0,8.2,9.2,8.8,2.1,0.4,4.4,2.4
30,Joel Embiid,PHL,10,32.2,26.0,7.9,17.3,0.457,1.2,3.9,0.308,9.0,10.7,0.841,2.3,6.9,9.2,5.0,0.8,1.0,3.4,2.0
31,P.J. Washington,DAL,10,31.0,15.6,5.5,12.9,0.426,1.8,4.4,0.409,2.8,3.9,0.718,2.0,7.2,9.2,3.0,1.0,1.5,2.1,2.6
32,Nick Richards,PHX,10,23.9,12.2,5.3,7.8,0.679,0.0,0.0,0.0,1.6,1.8,0.889,2.0,7.1,9.1,0.8,0.1,0.7,1.2,2.7
33,"Wendell Carter, Jr.",ORL,10,27.7,9.6,3.6,8.0,0.45,0.6,2.3,0.261,1.8,2.2,0.818,3.4,5.7,9.1,1.8,0.7,0.6,1.7,3.7
34,Jarrett Allen,CLE,10,27.7,13.0,5.2,7.7,0.675,0.0,0.0,0.0,2.6,3.2,0.813,2.5,6.4,8.9,1.5,1.3,1.0,1.1,1.4
35,Zach Collins,CHI,10,26.2,12.9,4.8,8.6,0.558,1.0,3.2,0.313,2.3,2.7,0.852,3.1,5.8,8.9,3.0,1.0,0.6,1.4,2.7
36,Chet Holmgren,OKC,10,27.6,14.7,5.3,10.9,0.486,1.3,3.9,0.333,2.8,4.0,0.7,2.2,6.6,8.8,1.8,0.7,2.6,1.4,2.3
37,"Michael Porter, Jr.",DEN,10,36.1,16.2,6.4,14.3,0.448,2.0,6.1,0.328,1.4,1.9,0.737,2.1,6.6,8.7,1.7,0.5,0.3,1.0,2.4
38,Naz Reid,MIN,10,34.6,16.0,5.8,15.4,0.377,2.8,8.2,0.341,1.6,2.1,0.762,1.6,7.1,8.7,3.0,0.7,1.2,2.0,2.9
39,Miles Bridges,CHA,10,34.8,26.6,9.4,20.0,0.47,3.0,7.9,0.38,4.8,5.5,0.873,1.3,7.3,8.6,4.1,0.5,1.2,2.8,1.6
40,Zach Edey,MEM,10,21.8,8.6,3.7,6.4,0.578,0.1,0.1,1.0,1.1,1.5,0.733,4.6,3.9,8.5,0.6,0.3,1.5,1.0,2.6
41,Deni Avdija,POR,10,30.6,19.2,6.2,12.5,0.496,1.6,4.2,0.381,5.2,7.1,0.732,1.9,6.5,8.4,4.3,0.5,0.2,3.0,2.5
42,Andre Drummond,PHL,10,19.0,8.9,3.3,6.8,0.485,0.2,0.8,0.25,2.1,2.9,0.724,3.5,4.9,8.4,1.5,0.6,0.5,0.8,2.3
43,Dereck Lively II,DAL,10,24.0,9.6,4.4,6.3,0.698,0.0,0.0,0.0,0.8,1.0,0.8,3.4,4.8,8.2,3.1,0.5,1.8,1.1,3.0
44,Kyle Filipowski,UTA,10,24.4,15.7,5.7,10.9,0.523,2.1,4.4,0.477,2.2,3.4,0.647,2.2,6.0,8.2,2.7,0.7,0.3,2.0,3.0
45,John Collins,UTA,10,32.5,21.7,8.1,16.0,0.506,1.4,5.1,0.275,4.1,5.1,0.804,2.2,5.9,8.1,1.0,0.8,1.0,2.3,2.6
46,Isaiah Hartenstein,OKC,10,25.7,11.1,4.9,7.9,0.62,0.0,0.2,0.0,1.3,1.6,0.813,1.9,6.2,8.1,3.7,0.8,0.5,1.0,3.3
47,Desmond Bane,MEM,10,36.1,20.6,7.2,16.3,0.442,1.7,5.8,0.293,4.5,4.8,0.938,1.1,6.9,8.0,6.0,1.3,0.6,2.2,2.4
48,Scottie Barnes,TOR,10,32.0,17.5,6.5,15.3,0.425,0.7,3.1,0.226,3.8,4.7,0.809,2.5,5.5,8.0,4.7,1.5,1.0,2.4,1.3
49,Al Horford,BOS,10,31.6,11.4,4.1,8.9,0.461,2.3,5.5,0.418,0.9,1.0,0.9,1.6,6.4,8.0,2.3,0.9,1.0,0.8,1.3
50,Jaden McDaniels,MIN,10,35.8,18.3,7.4,14.2,0.521,1.5,4.3,0.349,2.0,2.1,0.952,2.5,5.4,7.9,3.3,1.6,0.6,0.9,2.2
51,Draymond Green,GOS,10,30.3,10.6,3.6,8.4,0.429,0.7,2.6,0.269,2.7,3.4,0.794,1.6,6.1,7.7,7.2,1.7,0.5,2.3,3.0
52,Yves Missi,NOP,10,26.7,10.4,4.4,7.8,0.564,0.0,0.0,0.0,1.6,2.8,0.571,3.7,4.0,7.7,1.0,0.7,0.6,1.1,1.5
53,Jusuf Nurkic,CHA,10,17.2,6.8,2.6,5.7,0.456,0.2,1.9,0.105,1.4,2.2,0.636,2.0,5.5,7.5,3.0,1.0,0.8,1.4,2.0
54,Oscar Tshiebwe,UTA,7,14.3,5.6,2.1,3.3,0.652,0.0,0.0,0.0,1.3,1.7,0.75,2.3,5.1,7.4,0.4,0.9,0.0,0.3,2.0
55,Richaun Holmes,WAS,10,22.7,11.7,4.6,6.4,0.719,0.0,0.1,0.0,2.5,2.9,0.862,2.5,4.9,7.4,2.1,0.5,1.0,1.3,2.4
56,Zion Williamson,NOP,10,29.1,25.2,10.4,17.0,0.612,0.1,0.2,0.5,4.3,6.6,0.652,2.5,4.8,7.3,6.0,1.3,0.8,2.7,2.2
57,Naji Marshall,DAL,10,32.4,16.9,6.4,14.0,0.457,1.0,5.2,0.192,3.1,3.6,0.861,1.6,5.7,7.3,4.1,1.6,0.1,2.5,1.4
58,Pascal Siakam,IND,10,31.6,21.6,8.3,16.2,0.512,1.9,5.1,0.373,3.1,4.9,0.633,1.6,5.6,7.2,2.9,0.7,0.4,1.8,2.2
59,Kelly Olynyk,NOP,10,25.3,10.1,3.5,8.0,0.438,0.8,2.5,0.32,2.3,3.0,0.767,2.1,5.1,7.2,3.3,0.6,0.5,1.6,3.1
60,Dejounte Murray,NOP,10,31.3,20.0,6.5,16.1,0.404,2.4,6.4,0.375,4.6,5.5,0.836,0.6,6.4,7.0,6.6,1.1,0.2,2.6,1.5
61,Tobias Harris,DET,10,33.2,16.6,6.3,11.4,0.553,1.3,3.0,0.433,2.7,3.1,0.871,1.1,5.9,7.0,1.9,1.1,0.5,1.3,2.2
62,Mason Plumlee,PHX,10,21.6,8.4,3.1,4.1,0.756,0.0,0.1,0.0,2.2,3.3,0.667,1.7,5.3,7.0,1.6,0.4,0.3,0.4,2.1
63,Orlando Robinson,TOR,10,22.2,9.4,3.5,7.4,0.473,0.5,1.3,0.385,1.9,2.2,0.864,3.3,3.6,6.9,2.2,0.7,0.7,1.5,2.0
64,Julius Randle,MIN,10,30.0,18.8,6.8,13.6,0.5,1.3,4.6,0.283,3.9,4.5,0.867,2.5,4.3,6.8,5.5,0.9,0.2,2.5,2.3
65,Anthony Edwards,MIN,10,34.8,25.9,8.2,18.0,0.456,3.5,9.7,0.361,6.0,7.5,0.8,0.6,6.0,6.6,5.2,0.9,0.3,2.3,1.7
66,Kevin Durant,PHX,10,39.4,25.0,8.9,17.9,0.497,2.9,6.8,0.426,4.3,5.1,0.843,0.4,6.2,6.6,4.5,1.0,1.1,3.3,1.7
67,Jakob Poeltl,TOR,10,24.4,11.8,5.0,8.4,0.595,0.0,0.0,0.0,1.8,2.1,0.857,2.1,4.5,6.6,3.4,1.2,1.0,1.6,2.6
68,Nicolas Claxton,BRK,10,29.4,10.0,4.5,8.1,0.556,0.0,0.2,0.0,1.0,2.0,0.5,2.6,4.0,6.6,3.5,0.8,2.1,1.2,2.6
69,Day'Ron Sharpe,BRK,10,18.8,7.6,3.0,5.3,0.566,0.3,0.7,0.429,1.3,1.7,0.765,2.8,3.8,6.6,1.9,1.2,1.1,1.2,3.1
70,Kyle Kuzma,MIL,10,33.4,13.8,5.3,11.7,0.453,1.2,3.7,0.324,2.0,3.0,0.667,0.5,6.1,6.6,2.1,0.4,0.2,2.1,1.6
71,Bismack Biyombo,SAS,10,20.0,6.7,3.1,4.6,0.674,0.0,0.0,0.0,0.5,1.3,0.385,2.1,4.4,6.5,1.0,0.7,1.1,0.9,2.2
72,Alex Sarr,WAS,10,26.1,12.0,4.4,12.9,0.341,1.5,5.0,0.3,1.7,3.0,0.567,1.6,4.9,6.5,2.5,0.6,1.2,1.2,1.6
73,Robert Williams,POR,10,18.1,4.1,1.9,3.6,0.528,0.0,0.1,0.0,0.3,0.4,0.75,1.7,4.8,6.5,0.9,0.5,1.9,0.9,2.2
74,"Jabari Smith, Jr.",HOU,10,29.8,11.1,4.1,11.1,0.369,1.5,5.4,0.278,1.4,2.1,0.667,2.3,4.2,6.5,0.8,0.3,0.4,0.7,2.1
75,Paolo Banchero,ORL,10,35.4,28.1,8.9,19.0,0.468,2.1,6.1,0.344,8.2,10.5,0.781,1.0,5.4,6.4,4.2,1.0,0.5,2.7,2.1
76,Santi Aldama,MEM,10,26.8,12.7,5.0,10.4,0.481,2.2,5.6,0.393,0.5,0.7,0.714,1.7,4.7,6.4,4.1,0.7,0.6,0.6,1.2
77,Brook Lopez,MIL,10,31.5,13.5,4.8,9.0,0.533,1.3,4.1,0.317,2.6,2.9,0.897,2.0,4.4,6.4,1.7,0.5,1.6,0.8,2.3
78,Clint Capela,ATL,10,16.7,6.4,2.9,6.0,0.483,0.0,0.1,0.0,0.6,1.2,0.5,2.7,3.7,6.4,0.8,0.7,0.8,0.3,1.6
79,Kristaps Porzingis,BOS,10,31.1,19.3,6.7,14.5,0.462,2.6,6.5,0.4,3.3,4.5,0.733,1.1,5.2,6.3,2.2,1.4,2.0,1.7,3.3
80,Tari Eason,HOU,10,28.5,14.0,5.8,11.9,0.487,1.6,4.5,0.356,0.8,1.0,0.8,2.5,3.8,6.3,2.1,1.5,0.7,1.7,2.8
81,R.J. Barrett,TOR,10,32.3,21.5,7.8,16.2,0.481,2.2,5.4,0.407,3.7,5.9,0.627,1.2,5.0,6.2,5.6,0.8,0.2,2.8,2.0
82,Jonathan Kuminga,GOS,10,28.2,20.1,6.6,13.5,0.489,1.4,3.2,0.438,5.5,7.8,0.705,1.7,4.4,6.1,3.1,0.7,0.4,1.6,1.5
83,Lauri Markkanen,UTA,10,32.5,17.4,6.3,15.1,0.417,2.8,8.2,0.341,2.0,2.3,0.87,1.4,4.7,6.1,0.5,0.7,0.5,1.3,1.7
84,Shaedon Sharpe,POR,10,33.8,19.7,7.5,16.1,0.466,2.0,6.3,0.317,2.7,3.4,0.794,1.7,4.3,6.0,3.2,0.5,0.2,2.6,2.0
