#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Stephen Curry,GOS,5,33.3,29.0,8.4,18.2,0.462,4.8,11.4,0.421,7.4,7.8,0.949,1.0,2.8,3.8,6.0,1.2,0.2,3.2,1.4
2,Luka Doncic,LAL,5,38.5,29.4,9.2,21.4,0.43,4.6,11.4,0.404,6.4,8.8,0.727,0.6,7.6,8.2,10.2,2.0,0.2,5.2,2.0
3,James Harden,LAC,5,39.3,31.0,8.6,19.6,0.439,4.2,11.0,0.382,9.6,11.8,0.814,0.8,4.8,5.6,10.2,1.0,0.6,4.6,1.4
4,Derrick White,BOS,5,34.6,20.6,6.8,15.4,0.442,4.2,11.0,0.382,2.8,3.0,0.933,0.6,4.2,4.8,6.0,1.2,1.6,1.4,2.0
5,Jayson Tatum,BOS,5,39.4,34.0,12.2,25.2,0.484,4.0,11.8,0.339,5.6,6.4,0.875,1.8,9.0,10.8,6.8,1.0,0.8,4.0,3.2
6,Jordan Poole,WAS,5,28.0,23.0,7.8,15.4,0.506,4.0,9.0,0.444,3.4,3.4,1.0,0.6,3.2,3.8,2.8,1.4,0.4,2.0,2.0
7,Tyrese Haliburton,IND,5,33.5,22.2,8.2,14.0,0.586,3.8,6.4,0.594,2.0,2.0,1.0,0.4,2.8,3.2,11.6,2.6,0.4,1.2,0.6
8,Payton Pritchard,BOS,5,29.7,16.2,5.4,11.8,0.458,3.8,9.0,0.422,1.6,1.6,1.0,1.6,2.0,3.6,3.4,0.8,0.4,0.2,1.2
9,Klay Thompson,DAL,5,31.8,21.4,7.6,17.8,0.427,3.8,9.8,0.388,2.4,2.4,1.0,0.6,3.2,3.8,3.8,0.4,0.6,1.0,0.8
10,Brandon Miller,CHA,5,33.4,18.8,6.6,17.0,0.388,3.8,10.4,0.365,1.8,2.6,0.692,0.8,2.6,3.4,4.4,1.0,0.6,2.4,2.8
11,Devin Vassell,SAS,5,34.1,20.0,7.6,15.4,0.494,3.6,8.0,0.45,1.2,1.2,1.0,0.8,5.4,6.2,3.8,2.4,1.0,1.2,2.4
12,Anthony Edwards,MIN,5,34.4,22.8,7.6,15.6,0.487,3.6,8.8,0.409,4.0,5.4,0.741,0.4,5.2,5.6,4.4,0.8,0.2,2.0,1.4
13,C.J. McCollum,NOP,5,30.4,17.6,6.6,14.6,0.452,3.6,7.8,0.462,0.8,1.0,0.8,0.8,2.4,3.2,4.8,1.0,0.2,2.2,1.8
14,Duncan Robinson,MIA,5,26.2,14.0,4.6,10.4,0.442,3.6,8.2,0.439,1.2,1.4,0.857,0.2,1.6,1.8,1.6,0.6,0.0,1.2,1.6
15,Miles Bridges,CHA,5,36.6,32.2,11.2,22.0,0.509,3.4,8.6,0.395,6.4,7.4,0.865,1.0,8.0,9.0,4.4,1.0,1.4,1.8,1.6
16,Kevin Durant,PHX,5,40.6,27.6,9.4,17.8,0.528,3.4,6.4,0.531,5.4,5.8,0.931,0.4,7.0,7.4,4.4,0.4,1.0,3.8,1.4
17,Coby White,CHI,5,35.4,29.0,10.4,21.0,0.495,3.4,10.0,0.34,4.8,5.4,0.889,0.4,4.8,5.2,3.2,1.0,0.2,2.2,1.8
18,Zach LaVine,SAC,5,37.9,25.0,9.2,16.4,0.561,3.4,6.8,0.5,3.2,3.4,0.941,0.2,4.2,4.4,3.2,0.6,0.2,2.4,0.8
19,Immanuel Quickley,TOR,5,29.8,22.2,6.6,15.2,0.434,3.4,8.8,0.386,5.6,6.6,0.848,0.8,3.6,4.4,4.8,0.6,0.0,1.6,2.4
20,Donte DiVincenzo,MIN,5,27.6,14.0,5.0,9.8,0.51,3.4,7.0,0.486,0.6,1.2,0.5,0.6,3.6,4.2,4.4,0.6,0.6,1.0,2.4
21,Brice Sensabaugh,UTA,5,24.9,14.6,5.2,11.2,0.464,3.4,6.8,0.5,0.8,0.8,1.0,0.6,3.4,4.0,2.6,0.6,0.4,1.8,1.6
22,Luguentz Dort,OKC,5,33.2,11.8,4.2,10.2,0.412,3.4,8.2,0.415,0.0,0.4,0.0,1.2,3.0,4.2,1.6,1.4,0.4,0.6,2.2
23,Jaden Ivey,DET,5,27.9,19.2,7.4,12.4,0.597,3.2,5.2,0.615,1.2,1.6,0.75,1.6,2.6,4.2,3.0,0.8,0.2,2.8,1.2
24,OG Anunoby,NYK,5,40.7,21.4,7.4,17.4,0.425,3.2,8.6,0.372,3.4,4.6,0.739,2.2,3.6,5.8,3.2,1.6,0.6,2.2,2.8
25,Anfernee Simons,POR,5,36.0,23.2,9.0,19.0,0.474,3.2,9.4,0.34,2.0,2.0,1.0,0.2,2.6,2.8,3.6,1.0,0.0,1.6,1.2
26,LaMelo Ball,CHA,5,32.0,21.2,6.8,20.8,0.327,3.2,10.8,0.296,4.4,5.0,0.88,1.6,4.0,5.6,7.8,1.0,0.4,3.6,4.2
27,Naz Reid,MIN,5,30.9,15.8,6.2,13.0,0.477,3.2,7.4,0.432,0.2,0.4,0.5,0.8,5.6,6.4,2.6,0.4,1.2,2.0,2.8
28,A.J. Lawson,TOR,5,30.7,17.2,5.6,14.2,0.394,3.2,8.6,0.372,2.8,4.2,0.667,1.6,3.6,5.2,1.6,0.6,0.4,0.8,3.4
29,Shai Gilgeous-Alexander,OKC,5,36.1,38.2,13.2,24.2,0.545,3.0,7.8,0.385,8.8,9.0,0.978,1.2,3.4,4.6,6.8,1.0,1.2,3.0,2.8
30,Quentin Grimes,PHL,5,33.7,25.0,9.0,18.0,0.5,3.0,8.0,0.375,4.0,4.4,0.909,0.8,3.8,4.6,4.2,2.4,0.8,3.6,2.2
31,Darius Garland,CLE,5,31.7,19.4,6.2,16.2,0.383,3.0,9.0,0.333,4.0,4.0,1.0,0.4,2.8,3.2,6.4,1.4,0.0,2.2,1.6
32,Aaron Gordon,DEN,5,27.4,18.0,7.0,12.6,0.556,3.0,5.6,0.536,1.0,1.2,0.833,1.2,2.8,4.0,1.8,0.6,0.2,1.2,1.8
33,Lauri Markkanen,UTA,5,32.0,18.8,6.8,16.2,0.42,3.0,8.4,0.357,2.2,2.2,1.0,1.6,4.6,6.2,0.4,0.8,0.0,1.2,1.4
34,Buddy Hield,GOS,5,24.2,13.0,4.8,10.4,0.462,3.0,7.6,0.395,0.4,0.6,0.667,0.8,2.8,3.6,2.4,0.8,0.6,1.8,1.0
35,Dillon Brooks,HOU,5,32.3,18.0,6.8,14.8,0.459,3.0,7.6,0.395,1.4,2.2,0.636,1.2,2.2,3.4,2.2,0.6,0.0,1.2,2.8
36,Malik Beasley,DET,5,28.2,14.0,5.2,12.8,0.406,3.0,9.0,0.333,0.6,1.2,0.5,0.4,1.4,1.8,0.8,1.0,0.2,1.0,2.4
37,Daeqwon Plowden,ATL,2,16.4,12.0,4.0,5.0,0.8,3.0,4.0,0.75,1.0,1.0,1.0,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5
38,Damian Lillard,MIL,5,34.2,24.0,8.2,16.8,0.488,2.8,8.2,0.341,4.8,5.2,0.923,0.2,4.4,4.6,5.6,1.4,0.0,2.4,1.8
39,Dalton Knecht,LAL,5,27.3,14.2,5.6,10.2,0.549,2.8,6.6,0.424,0.2,0.8,0.25,0.8,3.4,4.2,1.2,0.4,0.2,0.4,0.6
40,Jerami Grant,POR,5,32.7,14.4,4.2,12.2,0.344,2.8,8.0,0.35,3.2,3.6,0.889,0.6,4.6,5.2,1.8,1.4,0.4,1.6,1.4
41,Kevin Huerter,CHI,5,29.2,13.0,4.4,12.4,0.355,2.8,8.6,0.326,1.4,1.8,0.778,0.2,2.8,3.0,1.8,1.6,0.4,1.8,1.8
42,Jordan Hawkins,NOP,5,24.9,12.0,4.2,10.2,0.412,2.8,6.8,0.412,0.8,1.2,0.667,1.2,2.6,3.8,0.6,0.4,0.2,1.2,1.8
43,Caris LeVert,ATL,5,29.5,19.0,7.6,13.8,0.551,2.6,6.2,0.419,1.2,1.6,0.75,0.4,2.6,3.0,3.2,1.0,0.8,1.0,1.2
44,Harrison Barnes,SAS,5,27.8,15.8,5.8,8.2,0.707,2.6,4.4,0.591,1.6,2.6,0.615,1.6,1.8,3.4,1.0,0.6,0.2,1.2,1.0
45,Vit Krejci,ATL,5,22.5,10.0,3.4,6.0,0.567,2.6,5.0,0.52,0.6,1.2,0.5,0.2,4.0,4.2,3.6,0.6,0.6,1.0,1.8
46,Max Strus,CLE,5,25.1,10.4,3.2,7.8,0.41,2.6,6.8,0.382,1.4,1.4,1.0,1.4,3.0,4.4,2.8,0.4,0.0,1.0,1.8
47,Nicolas Batum,LAC,5,29.6,9.0,3.0,5.6,0.536,2.6,5.0,0.52,0.4,0.4,1.0,0.4,2.6,3.0,0.6,1.0,1.4,0.8,1.6
48,"Gary Trent, Jr.",MIL,5,23.8,12.8,4.6,10.0,0.46,2.6,6.4,0.406,1.0,1.0,1.0,1.0,0.8,1.8,1.0,1.4,0.0,0.6,1.8
49,Sam Hauser,BOS,5,21.5,9.8,3.4,8.2,0.415,2.6,7.0,0.371,0.4,0.4,1.0,1.0,2.4,3.4,0.6,0.4,0.2,0.4,0.8
50,Jamison Battle,TOR,5,21.1,9.8,3.6,8.4,0.429,2.6,6.4,0.406,0.0,0.0,0.0,1.6,3.2,4.8,0.4,0.0,0.4,0.8,1.8
51,Gabe Vincent,LAL,5,26.8,9.8,3.4,7.6,0.447,2.6,5.6,0.464,0.4,0.4,1.0,0.0,0.8,0.8,2.0,0.6,0.2,0.6,2.4
52,Jalen Williams,OKC,5,30.4,24.6,8.4,16.2,0.519,2.4,5.2,0.462,5.4,6.2,0.871,0.4,4.8,5.2,6.4,1.2,0.8,1.4,1.6
53,Tyler Herro,MIA,5,35.3,22.2,9.0,18.0,0.5,2.4,6.4,0.375,1.8,2.4,0.75,0.4,4.8,5.2,5.6,1.2,1.0,2.0,0.6
54,Christian Braun,DEN,5,35.3,15.8,5.6,11.4,0.491,2.4,4.6,0.522,2.2,3.0,0.733,1.2,2.6,3.8,3.8,0.4,0.6,1.0,2.0
55,Keyonte George,UTA,5,29.8,17.6,5.2,14.6,0.356,2.4,7.6,0.316,4.8,6.2,0.774,0.4,4.0,4.4,5.8,0.8,0.0,2.2,1.2
56,Jalen Green,HOU,5,32.6,15.8,5.2,14.4,0.361,2.4,7.2,0.333,3.0,3.6,0.833,0.2,5.2,5.4,5.0,1.2,0.2,2.6,0.6
57,Norman Powell,LAC,5,32.0,22.2,7.6,16.6,0.458,2.4,7.2,0.333,4.6,6.0,0.767,0.4,2.4,2.8,2.0,1.0,0.0,1.8,1.6
58,Georges Niang,ATL,5,24.9,13.6,5.0,10.6,0.472,2.4,6.2,0.387,1.2,1.6,0.75,0.8,3.4,4.2,2.4,0.2,0.2,1.0,2.4
59,Ziaire Williams,BRK,5,27.5,11.4,3.8,9.4,0.404,2.4,7.2,0.333,1.4,1.4,1.0,1.4,3.0,4.4,1.6,0.6,0.8,0.6,3.0
60,Jordan Clarkson,UTA,5,28.5,14.0,4.8,14.4,0.333,2.4,8.0,0.3,2.0,3.2,0.625,1.2,2.4,3.6,4.2,0.8,0.0,2.0,1.6
61,Lonzo Ball,CHI,5,26.0,10.4,3.6,9.4,0.383,2.4,6.6,0.364,0.8,1.2,0.667,1.0,2.0,3.0,2.2,0.6,0.4,1.0,1.0
62,Max Christie,DAL,5,32.4,10.2,3.6,10.6,0.34,2.4,7.2,0.333,0.6,0.6,1.0,0.2,3.4,3.6,3.0,1.0,0.2,1.6,1.2
63,Sam Merrill,CLE,5,19.4,8.2,2.8,5.2,0.538,2.4,4.4,0.545,0.2,0.2,1.0,0.0,2.6,2.6,0.2,0.4,0.4,0.2,1.4
64,Taurean Prince,MIL,5,32.3,9.6,3.6,9.6,0.375,2.4,5.8,0.414,0.0,0.0,0.0,0.2,3.4,3.6,2.2,0.8,0.0,1.8,2.0
65,Paolo Banchero,ORL,5,38.0,27.6,8.6,16.6,0.518,2.2,5.2,0.423,8.2,10.0,0.82,1.0,5.4,6.4,4.2,1.4,0.4,2.6,2.0
66,Deni Avdija,POR,5,35.9,22.4,7.0,14.0,0.5,2.2,5.0,0.44,6.2,7.8,0.795,2.2,8.8,11.0,5.4,0.4,0.4,4.4,2.2
67,Ja Morant,MEM,5,33.8,28.8,9.8,20.8,0.471,2.2,7.0,0.314,7.0,8.6,0.814,0.6,2.6,3.2,7.8,1.4,0.0,3.2,2.8
