RANK,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SoS,rSoS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK,RANK_2,TEAM_2,CONF_2,DIVISION_2,GP_2,PPG_2,oPPG_2,pDIFF_2,PACE_2,oEFF_2,dEFF_2,eDIFF_2,SoS_2,rSoS_2,SAR_2,CONS_2,A4F_2,W_2,L_2,WIN%_2,eWIN%_2,pWIN%_2,ACH_2,STRK_2
,Atlanta,East,Southeast,66,117.4,119.6,-2.2,103.1,113.2,115.3,-2.1,0.15,-1.71,-1.95,12.3,0.232,32,34,0.485,0.432,0.428,0.053,4,,Atlanta,East,Southeast,5,124.0,119.2,4.8,103.0,120.7,115.9,4.8,-3.98,-3.4,0.82,6.9,0.001,4,1,0.8,0.755,0.658,0.045,4
,Boston,East,Atlantic,66,116.8,108.3,8.5,96.5,120.1,111.4,8.7,-0.63,-2.81,8.07,15.3,0.187,47,19,0.712,0.715,0.78,-0.003,-1,,Boston,East,Atlantic,5,117.6,110.0,7.6,93.9,125.3,117.1,8.2,-1.91,-4.4,6.29,9.5,0.017,4,1,0.8,0.807,0.75,-0.007,-1
,Brooklyn,East,Atlantic,65,105.2,111.5,-6.3,96.1,109.0,115.5,-6.5,0.6,-0.99,-5.9,14.2,0.227,22,43,0.338,0.324,0.293,0.014,-1,,Brooklyn,East,Atlantic,5,109.8,114.0,-4.2,94.7,116.0,120.4,-4.4,1.63,2.7,-2.77,6.4,0.009,1,4,0.2,0.246,0.362,-0.046,-1
,Charlotte,East,Southeast,65,105.4,113.0,-7.6,97.7,107.4,115.1,-7.7,-0.1,1.3,-7.8,12.6,0.211,16,49,0.246,0.27,0.25,-0.024,-1,,Charlotte,East,Southeast,5,109.4,114.0,-4.6,96.6,113.4,118.0,-4.6,1.41,4.16,-3.19,9.0,-0.02,2,3,0.4,0.305,0.349,0.095,-1
,Chicago,East,Central,65,116.6,120.3,-3.7,102.8,112.9,116.5,-3.6,0.46,-0.4,-3.14,14.8,0.23,27,38,0.415,0.404,0.378,0.011,3,,Chicago,East,Central,5,117.8,120.2,-2.4,104.3,113.0,115.5,-2.5,2.91,-0.82,0.41,15.2,0.008,3,2,0.6,0.434,0.421,0.166,3
,Cleveland,East,Central,65,122.7,111.4,11.3,99.9,122.5,111.3,11.2,-2.12,0.46,9.08,12.9,0.351,55,10,0.846,0.807,0.872,0.039,15,,Cleveland,East,Central,5,118.0,109.0,9.0,100.1,117.7,108.9,8.8,-2.22,2.56,6.58,7.7,0.008,5,0,1.0,0.875,0.796,0.125,5
,Dallas,West,Southwest,67,114.8,114.6,0.2,99.1,115.6,115.4,0.2,-0.5,0.39,-0.3,14.8,0.217,33,34,0.493,0.505,0.507,-0.012,-1,,Dallas,West,Southwest,5,116.6,127.8,-11.2,101.4,115.3,126.1,-10.8,0.89,-0.24,-9.91,11.6,-0.034,1,4,0.2,0.176,0.131,0.024,-1
,Denver,West,Northwest,66,121.1,116.6,4.5,100.0,120.1,115.7,4.4,0.03,-0.29,4.43,15.4,0.243,42,24,0.636,0.612,0.648,0.024,-1,,Denver,West,Northwest,5,120.6,124.0,-3.4,97.3,121.0,124.7,-3.7,5.42,-1.86,1.72,17.6,-0.001,3,2,0.6,0.417,0.388,0.183,-1
,Detroit,East,Central,66,114.8,112.9,1.9,100.0,114.2,112.3,1.9,-0.65,1.14,1.25,13.2,0.292,37,29,0.561,0.557,0.563,0.004,2,,Detroit,East,Central,5,120.2,111.8,8.4,103.4,116.3,108.5,7.8,-2.6,-0.14,5.2,14.8,0.035,3,2,0.6,0.701,0.777,-0.101,2
,Golden State,West,Pacific,65,113.5,111.3,2.2,99.2,114.3,112.1,2.2,-0.07,0.24,2.13,16.6,0.319,37,28,0.569,0.553,0.572,0.016,5,,Golden State,West,Pacific,5,119.8,110.4,9.4,100.1,119.9,110.6,9.3,-1.91,-0.7,7.39,6.1,0.026,5,0,1.0,0.936,0.81,0.064,5
,Houston,West,Southwest,66,112.9,108.8,4.1,98.6,114.0,109.9,4.1,-0.08,0.62,4.02,12.4,0.237,41,25,0.621,0.63,0.635,-0.009,4,,Houston,West,Southwest,5,113.0,103.4,9.6,95.3,118.2,108.2,9.9,-4.52,-1.76,5.38,15.3,0.026,4,1,0.8,0.741,0.816,0.059,4
,Indiana,East,Central,64,116.4,115.4,1.0,99.8,116.0,115.1,0.9,-0.25,-0.59,0.65,14.5,0.203,36,28,0.563,0.525,0.533,0.038,1,,Indiana,East,Central,5,113.8,116.2,-2.4,100.9,113.2,115.3,-2.0,-1.67,-0.42,-3.67,10.9,-0.004,2,3,0.4,0.427,0.421,-0.027,1
,LA Clippers,West,Pacific,66,111.1,108.9,2.2,97.7,113.0,110.8,2.2,0.04,0.38,2.24,17.0,0.272,36,30,0.545,0.551,0.572,-0.006,1,,LA Clippers,West,Pacific,5,115.6,110.2,5.4,94.2,120.6,114.8,5.8,0.61,2.08,6.41,9.1,0.037,4,1,0.8,0.738,0.678,0.062,1
,LA Lakers,West,Pacific,63,112.9,111.1,1.8,97.6,115.2,113.5,1.7,-0.17,1.81,1.53,15.3,0.252,40,23,0.635,0.544,0.559,0.091,-2,,LA Lakers,West,Pacific,5,113.2,109.6,3.6,94.6,117.2,113.6,3.6,-2.42,1.34,1.18,12.0,0.043,3,2,0.6,0.618,0.619,-0.018,-2
,Memphis,West,Southwest,66,122.6,116.7,5.9,103.6,118.2,112.5,5.7,-0.84,2.2,4.86,14.8,0.224,42,24,0.636,0.65,0.694,-0.014,4,,Memphis,West,Southwest,5,114.8,113.6,1.2,101.1,113.5,112.4,1.1,-0.21,2.88,0.89,10.5,-0.011,4,1,0.8,0.542,0.54,0.258,4
,Miami,East,Southeast,65,109.9,110.6,-0.7,96.3,112.5,113.2,-0.7,-0.76,-0.92,-1.46,13.9,0.205,29,36,0.446,0.48,0.477,-0.034,-5,,Miami,East,Southeast,5,105.2,111.2,-6.0,96.1,109.6,115.9,-6.3,0.0,5.74,-6.3,5.8,-0.033,0,5,0.0,0.138,0.302,-0.138,-5
