#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Stephen Curry,GOS,10,32.0,28.6,9.0,17.7,0.508,4.8,11.1,0.432,5.8,6.0,0.967,0.6,3.2,3.8,6.4,1.2,0.2,2.9,1.8
2,Derrick White,BOS,10,35.3,19.5,6.5,13.9,0.468,4.6,10.3,0.447,1.9,2.1,0.905,0.7,3.6,4.3,5.2,1.5,1.0,1.4,2.0
3,Donte DiVincenzo,MIN,10,28.3,15.6,5.3,11.6,0.457,4.1,8.7,0.471,0.9,1.4,0.643,0.9,3.5,4.4,4.4,1.3,0.4,0.9,2.3
4,Luka Doncic,LAL,10,36.5,29.5,9.1,21.5,0.423,3.9,10.4,0.375,7.4,9.5,0.779,1.0,8.2,9.2,8.3,2.2,0.5,4.4,2.1
5,Tyrese Haliburton,IND,10,33.5,21.7,8.0,14.5,0.552,3.8,7.5,0.507,1.9,1.9,1.0,0.4,2.6,3.0,10.9,2.1,0.3,1.5,1.1
6,Zach LaVine,SAC,10,36.1,23.6,8.9,15.3,0.582,3.7,6.7,0.552,2.1,2.4,0.875,0.2,4.3,4.5,3.1,0.7,0.1,3.2,1.0
7,Jayson Tatum,BOS,10,38.0,28.8,10.3,22.1,0.466,3.6,11.1,0.324,4.6,5.5,0.836,1.2,8.9,10.1,7.4,0.8,0.5,3.8,2.6
8,James Harden,LAC,10,38.7,25.5,7.1,19.0,0.374,3.6,10.8,0.333,7.7,9.4,0.819,1.0,4.7,5.7,9.4,1.4,0.4,4.6,1.7
9,Klay Thompson,DAL,10,29.5,17.7,6.1,14.4,0.424,3.6,8.5,0.424,1.9,2.1,0.905,0.9,2.7,3.6,2.7,0.6,0.5,1.2,1.0
10,Brandon Miller,CHA,10,34.0,20.4,7.0,17.3,0.405,3.6,10.8,0.333,2.8,3.4,0.824,0.8,3.5,4.3,3.8,0.6,0.7,2.9,2.9
11,Anthony Edwards,MIN,10,34.8,25.9,8.2,18.0,0.456,3.5,9.7,0.361,6.0,7.5,0.8,0.6,6.0,6.6,5.2,0.9,0.3,2.3,1.7
12,Jordan Poole,WAS,10,29.6,21.7,7.1,16.4,0.433,3.5,9.7,0.361,4.0,4.3,0.93,0.5,3.6,4.1,3.6,1.3,0.3,2.3,3.0
