#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Walker Kessler,UTA,5,29.4,12.2,5.4,7.8,0.692,0.0,0.0,0.0,1.4,3.2,0.438,6.0,8.2,14.2,1.6,0.6,3.8,1.8,1.2
2,Victor Wembanyama,SAS,5,34.1,21.2,7.8,16.6,0.47,2.0,6.8,0.294,3.6,4.6,0.783,2.2,9.8,12.0,3.4,1.2,3.0,1.8,2.8
3,Daniel Gafford,DAL,5,27.1,9.0,3.6,5.6,0.643,0.0,0.0,0.0,1.8,3.0,0.6,3.0,5.6,8.6,2.2,0.2,3.0,1.4,2.4
4,Donovan Clingan,POR,5,25.9,6.8,2.8,5.6,0.5,0.2,1.2,0.167,1.0,1.8,0.556,3.2,6.6,9.8,2.4,0.2,2.2,1.4,3.2
5,Alex Sarr,WAS,5,28.1,14.8,5.4,13.6,0.397,1.6,4.6,0.348,2.4,3.8,0.632,2.6,5.8,8.4,2.8,0.2,2.2,2.4,2.2
6,Adem Bona,PHL,5,24.5,12.2,5.0,7.6,0.658,0.0,0.0,0.0,2.2,2.6,0.846,3.6,3.8,7.4,0.8,1.0,2.0,1.2,2.0
7,Chet Holmgren,OKC,5,26.7,12.6,4.8,10.8,0.444,0.8,4.0,0.2,2.2,3.4,0.647,1.8,6.6,8.4,2.0,0.4,2.0,1.4,2.6
8,Kyshawn George,WAS,5,30.8,12.4,4.2,9.6,0.438,2.4,6.0,0.4,1.6,1.8,0.889,0.4,4.6,5.0,2.2,1.4,2.0,1.4,3.6
9,Kel'el Ware,MIA,5,22.5,6.4,3.0,5.6,0.536,0.0,1.2,0.0,0.4,0.8,0.5,1.6,5.4,7.0,1.0,0.8,2.0,1.2,2.2
10,Anthony Davis,DAL,5,28.9,26.4,10.2,18.0,0.567,0.4,1.6,0.25,5.6,6.8,0.824,3.8,8.6,12.4,3.0,1.0,1.8,1.8,1.4
11,Dereck Lively II,DAL,5,23.5,12.0,5.4,7.6,0.711,0.0,0.0,0.0,1.2,1.4,0.857,3.4,4.6,8.0,2.6,0.0,1.8,1.2,3.2
12,Brook Lopez,MIL,5,29.2,12.6,4.6,6.0,0.767,1.6,2.8,0.571,1.8,2.0,0.9,1.4,3.4,4.8,1.4,0.6,1.8,1.0,2.4
13,Robert Williams,POR,5,20.3,5.4,2.6,5.0,0.52,0.0,0.0,0.0,0.2,0.4,0.5,2.4,6.2,8.6,0.8,0.6,1.8,0.8,2.2
14,Miles Bridges,CHA,5,35.4,31.8,10.8,20.8,0.519,3.6,8.4,0.429,6.6,7.6,0.868,1.0,7.6,8.6,5.0,1.0,1.6,1.8,1.6
15,Jarrett Allen,CLE,5,29.5,13.6,4.8,8.2,0.585,0.0,0.0,0.0,4.0,5.4,0.741,2.2,6.6,8.8,1.6,1.8,1.6,1.2,1.8
16,"Jaren Jackson, Jr.",MEM,5,26.1,20.2,7.2,12.8,0.563,2.4,4.2,0.571,3.4,4.2,0.81,0.6,3.4,4.0,0.8,1.4,1.6,1.0,3.2
17,Myles Turner,IND,5,29.3,15.4,5.4,11.0,0.491,1.2,4.2,0.286,3.4,4.0,0.85,1.6,4.8,6.4,1.6,0.6,1.6,1.0,1.8
18,Cole Anthony,ORL,5,27.0,13.8,4.8,11.0,0.436,1.8,4.2,0.429,2.4,2.4,1.0,1.0,3.0,4.0,4.0,0.6,1.6,2.2,3.6
19,P.J. Washington,DAL,5,26.2,10.2,3.6,9.8,0.367,1.2,3.8,0.316,1.8,2.8,0.643,1.0,4.8,5.8,2.4,0.8,1.6,1.6,2.2
20,Isaiah Jackson,IND,5,16.8,7.0,2.8,4.6,0.609,0.0,0.0,0.0,1.4,2.8,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8
21,Mouhamed Gueye,ATL,5,18.4,7.0,2.4,5.4,0.444,0.8,2.4,0.333,1.4,1.6,0.875,1.0,2.8,3.8,1.0,1.4,1.6,0.6,2.0
22,Mohamed Bamba,NOP,5,15.6,4.0,1.4,3.2,0.438,0.6,1.6,0.375,0.6,0.8,0.75,1.2,3.6,4.8,0.6,0.0,1.6,0.6,2.4
