#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Shai Gilgeous-Alexander,OKC,5,36.1,38.2,13.2,24.2,0.545,3.0,7.8,0.385,8.8,9.0,0.978,1.2,3.4,4.6,6.8,1.0,1.2,3.0,2.8
2,Jayson Tatum,BOS,5,39.4,34.0,12.2,25.2,0.484,4.0,11.8,0.339,5.6,6.4,0.875,1.8,9.0,10.8,6.8,1.0,0.8,4.0,3.2
3,Miles Bridges,CHA,5,36.6,32.2,11.2,22.0,0.509,3.4,8.6,0.395,6.4,7.4,0.865,1.0,8.0,9.0,4.4,1.0,1.4,1.8,1.6
4,James Harden,LAC,5,39.3,31.0,8.6,19.6,0.439,4.2,11.0,0.382,9.6,11.8,0.814,0.8,4.8,5.6,10.2,1.0,0.6,4.6,1.4
5,Jalen Brunson,NYK,5,38.7,30.4,10.6,21.8,0.486,2.0,7.2,0.278,7.2,8.2,0.878,0.4,3.8,4.2,7.2,1.4,0.2,3.0,2.0
6,Cade Cunningham,DET,5,34.9,30.4,11.4,21.2,0.538,1.6,5.4,0.296,6.0,6.8,0.882,0.4,4.4,4.8,7.8,1.6,0.4,6.2,3.8
7,Luka Doncic,LAL,5,38.5,29.4,9.2,21.4,0.43,4.6,11.4,0.404,6.4,8.8,0.727,0.6,7.6,8.2,10.2,2.0,0.2,5.2,2.0
8,Nikola Jokic,DEN,5,40.4,29.2,12.0,21.2,0.566,1.6,5.4,0.296,3.6,5.6,0.643,3.2,11.8,15.0,9.8,1.4,0.8,3.4,3.2
9,Stephen Curry,GOS,5,33.3,29.0,8.4,18.2,0.462,4.8,11.4,0.421,7.4,7.8,0.949,1.0,2.8,3.8,6.0,1.2,0.2,3.2,1.4
10,Coby White,CHI,5,35.4,29.0,10.4,21.0,0.495,3.4,10.0,0.34,4.8,5.4,0.889,0.4,4.8,5.2,3.2,1.0,0.2,2.2,1.8
11,Giannis Antetokounmpo,MIL,5,32.3,28.8,11.8,19.8,0.596,0.0,0.6,0.0,5.2,8.0,0.65,3.4,9.4,12.8,5.6,1.0,0.2,2.8,2.0
12,Ja Morant,MEM,5,33.8,28.8,9.8,20.8,0.471,2.2,7.0,0.314,7.0,8.6,0.814,0.6,2.6,3.2,7.8,1.4,0.0,3.2,2.8
13,Kevin Durant,PHX,5,40.6,27.6,9.4,17.8,0.528,3.4,6.4,0.531,5.4,5.8,0.931,0.4,7.0,7.4,4.4,0.4,1.0,3.8,1.4
14,Paolo Banchero,ORL,5,38.0,27.6,8.6,16.6,0.518,2.2,5.2,0.423,8.2,10.0,0.82,1.0,5.4,6.4,4.2,1.4,0.4,2.6,2.0
15,Donovan Mitchell,CLE,5,32.9,26.8,7.6,18.8,0.404,2.2,8.4,0.262,9.4,11.4,0.825,0.6,4.4,5.0,4.4,1.0,0.2,3.0,1.6
16,Trae Young,ATL,5,35.3,26.6,7.8,20.4,0.382,1.0,6.0,0.167,10.0,10.2,0.98,0.4,3.2,3.6,12.8,0.4,0.0,4.4,1.8
17,Anthony Davis,DAL,5,28.9,26.4,10.2,18.0,0.567,0.4,1.6,0.25,5.6,6.8,0.824,3.8,8.6,12.4,3.0,1.0,1.8,1.8,1.4
18,LeBron James,LAL,5,36.9,26.4,10.0,20.4,0.49,2.0,7.4,0.27,4.4,5.4,0.815,1.2,9.2,10.4,7.0,0.8,0.8,3.6,1.8
19,Quentin Grimes,PHL,5,33.7,25.0,9.0,18.0,0.5,3.0,8.0,0.375,4.0,4.4,0.909,0.8,3.8,4.6,4.2,2.4,0.8,3.6,2.2
20,Zach LaVine,SAC,5,37.9,25.0,9.2,16.4,0.561,3.4,6.8,0.5,3.2,3.4,0.941,0.2,4.2,4.4,3.2,0.6,0.2,2.4,0.8
21,Jalen Williams,OKC,5,30.4,24.6,8.4,16.2,0.519,2.4,5.2,0.462,5.4,6.2,0.871,0.4,4.8,5.2,6.4,1.2,0.8,1.4,1.6
22,Zion Williamson,NOP,5,29.6,24.6,10.2,17.6,0.58,0.0,0.2,0.0,4.2,5.8,0.724,1.8,4.6,6.4,6.6,1.2,0.8,2.8,2.2
23,Naji Marshall,DAL,5,37.3,24.6,9.6,18.8,0.511,1.6,6.0,0.267,3.8,4.6,0.826,2.0,7.0,9.0,4.0,1.6,0.0,3.0,1.4
