#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Walker Kessler,UTA,5,29.4,12.2,5.4,7.8,0.692,0.0,0.0,0.0,1.4,3.2,0.438,6.0,8.2,14.2,1.6,0.6,3.8,1.8,1.2
2,Nikola Jokic,DEN,5,40.4,30.4,11.8,20.8,0.567,1.6,5.8,0.276,5.2,7.8,0.667,2.4,11.0,13.4,9.6,1.8,1.0,2.8,3.6
3,Giannis Antetokounmpo,MIL,5,31.6,28.4,11.6,19.6,0.592,0.0,0.4,0.0,5.2,8.2,0.634,3.2,9.6,12.8,5.4,1.0,0.4,2.8,1.8
4,Anthony Davis,DAL,5,28.9,26.4,10.2,18.0,0.567,0.4,1.6,0.25,5.6,6.8,0.824,3.8,8.6,12.4,3.0,1.0,1.8,1.8,1.4
5,Victor Wembanyama,SAS,5,34.1,21.2,7.8,16.6,0.47,2.0,6.8,0.294,3.6,4.6,0.783,2.2,9.8,12.0,3.4,1.2,3.0,1.8,2.8
6,Ivica Zubac,LAC,5,37.9,20.2,9.2,13.8,0.667,0.0,0.0,0.0,1.8,3.2,0.563,3.0,8.8,11.8,2.6,0.2,1.2,1.2,2.4
7,Bobby Portis,MIL,5,29.8,16.4,6.8,15.2,0.447,1.6,4.4,0.364,1.2,1.4,0.857,2.6,9.0,11.6,4.2,0.6,0.8,1.2,3.0
8,Karl-Anthony Towns,NYK,5,36.5,20.2,6.6,14.4,0.458,2.0,5.4,0.37,5.0,6.2,0.806,2.8,8.4,11.2,2.0,1.2,0.6,3.0,4.0
9,Jonas Valanciunas,SAC,5,23.4,9.0,3.6,7.6,0.474,0.0,0.6,0.0,1.8,2.4,0.75,3.0,8.2,11.2,3.2,0.6,0.8,1.8,3.4
10,Deni Avdija,POR,5,35.9,22.4,7.0,14.0,0.5,2.2,5.0,0.44,6.2,7.8,0.795,2.2,8.8,11.0,5.4,0.4,0.4,4.4,2.2
11,Mark Williams,CHA,5,27.7,15.2,6.0,8.6,0.698,0.0,0.0,0.0,3.2,4.2,0.762,2.4,8.6,11.0,2.0,1.0,1.4,1.8,1.6
12,Jalen Duren,DET,5,27.6,14.2,6.0,9.0,0.667,0.0,0.0,0.0,2.2,3.4,0.647,3.2,7.8,11.0,1.6,0.8,0.6,1.0,4.0
13,Josh Hart,NYK,5,39.2,12.6,4.6,11.8,0.39,1.8,5.2,0.346,1.6,2.6,0.615,2.2,8.8,11.0,4.6,1.0,0.0,2.6,2.2
14,Onyeka Okongwu,ATL,5,31.6,15.2,5.8,10.2,0.569,0.8,1.8,0.444,2.8,3.0,0.933,5.2,5.6,10.8,2.2,1.0,1.4,0.6,2.4
15,LeBron James,LAL,5,36.9,26.4,10.0,20.4,0.49,2.0,7.4,0.27,4.4,5.4,0.815,1.2,9.2,10.4,7.0,0.8,0.8,3.6,1.8
16,Amen Thompson,HOU,5,36.5,16.0,7.4,12.4,0.597,0.2,1.6,0.125,1.0,2.4,0.417,3.6,6.8,10.4,5.0,0.4,0.8,2.2,1.8
17,Rudy Gobert,MIN,5,29.8,14.2,6.0,8.6,0.698,0.0,0.0,0.0,2.2,3.0,0.733,4.4,6.0,10.4,2.2,1.0,0.8,1.2,2.8
18,Deandre Ayton,POR,5,29.0,13.4,5.4,11.8,0.458,0.0,0.2,0.0,2.6,3.2,0.813,3.8,6.4,10.2,2.0,0.6,1.2,1.8,3.0
19,Josh Giddey,CHI,5,35.6,22.2,7.6,15.8,0.481,1.4,4.4,0.318,5.6,6.8,0.824,1.4,8.6,10.0,8.8,0.6,0.6,2.4,2.0
