#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Victor Wembanyama,SAS,46,33.2,24.3,8.9,18.6,0.476,3.1,8.8,0.352,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3
2,Walker Kessler,UTA,50,30.4,11.5,5.0,6.9,0.725,0.0,0.1,0.333,1.5,2.8,0.536,4.7,7.6,12.3,1.6,0.6,2.5,1.5,2.2
3,Anthony Davis,DAL,43,34.2,25.7,9.5,18.0,0.528,0.7,2.2,0.313,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9
4,Brook Lopez,MIL,64,31.7,12.7,4.7,9.6,0.492,1.8,4.9,0.371,1.4,1.7,0.844,1.3,3.7,5.0,1.8,0.7,1.9,1.0,2.2
5,Daniel Gafford,DAL,51,21.9,12.3,5.0,7.1,0.699,0.0,0.0,0.0,2.4,3.4,0.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7
6,Myles Turner,IND,58,30.7,15.5,5.5,11.5,0.476,2.2,5.4,0.399,2.4,3.1,0.775,1.2,5.3,6.5,1.6,0.8,1.8,1.7,2.6
7,Dereck Lively II,DAL,32,24.0,9.1,3.9,5.5,0.701,0.0,0.0,0.0,1.4,2.2,0.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9
8,"Jaren Jackson, Jr.",MEM,60,29.3,22.6,8.1,16.4,0.496,1.9,5.2,0.369,4.4,5.7,0.773,1.3,4.5,5.8,2.1,1.3,1.7,2.1,3.4
9,Donovan Clingan,POR,53,17.8,6.0,2.5,4.5,0.55,0.2,0.6,0.267,0.8,1.4,0.616,2.8,4.3,7.2,1.0,0.5,1.6,1.2,2.8
10,Alex Sarr,WAS,50,26.9,11.9,4.5,11.4,0.391,1.5,4.8,0.314,1.5,2.3,0.629,1.8,4.9,6.7,2.3,0.6,1.6,1.5,2.3
11,Evan Mobley,CLE,59,30.3,18.6,7.2,12.6,0.568,1.1,3.0,0.369,3.2,4.3,0.742,2.3,7.1,9.3,3.1,0.8,1.6,2.0,2.0
12,Goga Bitadze,ORL,57,21.6,7.6,3.2,5.1,0.624,0.1,0.4,0.13,1.2,1.9,0.633,2.4,4.6,7.0,2.0,0.7,1.5,1.1,2.2
13,Nicolas Claxton,BRK,58,27.2,10.2,4.5,8.2,0.549,0.0,0.3,0.063,1.2,2.3,0.53,2.2,5.2,7.4,2.3,0.9,1.5,1.2,2.2
14,Rudy Gobert,MIN,58,33.0,11.1,4.3,6.6,0.655,0.0,0.0,0.0,2.4,3.6,0.681,3.5,6.9,10.4,1.8,0.7,1.5,1.3,2.4
15,Isaiah Stewart II,DET,61,19.8,5.8,2.3,4.3,0.54,0.2,0.7,0.279,1.0,1.3,0.756,1.9,3.7,5.6,1.7,0.3,1.4,1.0,2.5
16,Yves Missi,NOP,63,27.0,8.8,3.6,6.6,0.543,0.0,0.0,0.0,1.6,2.6,0.636,3.5,4.5,8.0,1.3,0.6,1.3,1.2,2.1
17,Kevin Durant,PHX,54,37.1,26.7,9.7,18.3,0.528,2.5,6.0,0.417,4.9,5.8,0.832,0.4,5.7,6.1,4.3,0.9,1.3,3.1,1.7
18,Amen Thompson,HOU,60,32.5,14.0,5.5,10.0,0.553,0.3,1.3,0.256,2.6,3.8,0.693,2.8,5.6,8.3,3.6,1.3,1.3,2.1,2.3
19,Jakob Poeltl,TOR,51,29.9,14.1,6.2,10.0,0.614,0.0,0.0,0.0,1.8,2.6,0.681,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.2
20,Zach Edey,MEM,52,20.7,9.1,3.8,6.6,0.576,0.3,0.8,0.364,1.3,1.8,0.699,3.5,4.3,7.8,0.9,0.6,1.2,1.3,2.6
21,Giannis Antetokounmpo,MIL,53,33.9,30.5,12.2,20.2,0.603,0.2,0.8,0.182,6.1,10.2,0.594,2.3,9.8,12.1,5.9,0.8,1.2,3.3,2.4
22,Peyton Watson,DEN,54,23.4,7.8,2.8,6.0,0.468,0.7,2.0,0.361,1.4,2.0,0.729,0.7,2.5,3.2,1.4,0.8,1.2,0.9,1.7
23,Jalen Duren,DET,64,25.9,11.5,4.8,6.8,0.699,0.0,0.0,0.0,2.0,2.9,0.689,3.5,6.9,10.4,2.5,0.8,1.2,1.8,3.2
24,Ivica Zubac,LAC,65,32.7,16.2,7.2,11.5,0.625,0.0,0.0,0.0,1.8,2.8,0.636,3.7,8.8,12.4,2.5,0.7,1.2,1.6,2.2
25,Jonathan Isaac,ORL,59,16.0,5.7,2.0,4.8,0.414,0.6,2.4,0.271,1.0,1.5,0.67,1.7,2.9,4.6,0.5,0.8,1.1,0.4,1.4
26,P.J. Washington,DAL,47,32.2,14.0,5.0,11.6,0.432,1.6,4.2,0.374,2.4,3.2,0.74,1.6,6.5,8.1,2.3,1.2,1.1,1.9,2.4
27,Derrick White,BOS,64,33.8,16.7,5.7,12.8,0.445,3.5,9.0,0.389,1.8,2.1,0.847,0.9,3.5,4.3,4.4,1.0,1.1,1.6,1.8
28,Kel'el Ware,MIA,48,20.4,8.4,3.5,6.6,0.54,0.6,1.8,0.321,0.8,1.0,0.72,1.6,4.9,6.5,0.9,0.6,1.1,0.9,1.5
29,Scottie Barnes,TOR,52,33.9,19.7,7.4,16.7,0.444,1.2,4.6,0.265,3.6,4.7,0.771,1.7,6.2,7.9,5.9,1.5,1.1,2.8,1.9
30,Shai Gilgeous-Alexander,OKC,64,34.3,32.8,11.3,21.5,0.525,2.2,5.8,0.371,8.0,8.9,0.9,0.9,4.2,5.1,6.2,1.8,1.0,2.6,2.3
31,Nick Richards,PHX,46,22.1,9.5,3.6,6.0,0.598,0.0,0.0,0.0,2.3,3.1,0.729,2.5,6.1,8.6,1.0,0.2,1.0,1.4,2.5
32,Jalen Johnson,ATL,36,35.7,18.9,7.5,15.1,0.5,1.2,3.9,0.312,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9
33,Draymond Green,GOS,52,28.8,9.2,3.2,7.4,0.432,1.2,3.4,0.341,1.6,2.4,0.68,1.1,5.0,6.1,5.8,1.4,1.0,2.5,3.1
34,Deandre Ayton,POR,40,30.1,14.4,6.6,11.7,0.566,0.2,0.8,0.188,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2
35,Naz Reid,MIN,67,28.0,14.7,5.5,11.8,0.463,2.3,5.9,0.391,1.5,1.9,0.78,1.1,5.0,6.1,2.2,0.7,1.0,1.3,2.5
