#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Shai Gilgeous-Alexander,OKC,64,34.3,32.8,11.3,21.5,0.525,2.2,5.8,0.371,8.0,8.9,0.9,0.9,4.2,5.1,6.2,1.8,1.0,2.6,2.3
2,Giannis Antetokounmpo,MIL,53,33.9,30.5,12.2,20.2,0.603,0.2,0.8,0.182,6.1,10.2,0.594,2.3,9.8,12.1,5.9,0.8,1.2,3.3,2.4
3,Nikola Jokic,DEN,60,36.4,29.0,11.1,19.3,0.577,1.9,4.5,0.428,4.8,6.0,0.808,2.9,10.0,12.9,10.4,1.8,0.7,3.3,2.3
4,Jayson Tatum,BOS,61,36.6,27.2,9.3,20.3,0.456,3.6,10.2,0.354,5.1,6.3,0.807,0.7,8.1,8.8,5.9,1.1,0.5,2.9,2.2
5,Anthony Edwards,MIN,64,36.4,27.2,9.0,20.4,0.442,4.1,10.1,0.406,5.1,6.1,0.835,0.8,5.2,6.0,4.6,1.1,0.6,3.3,1.8
6,Kevin Durant,PHX,53,37.1,26.8,9.7,18.4,0.529,2.5,6.0,0.413,4.9,5.9,0.83,0.4,5.8,6.2,4.3,0.8,1.3,3.1,1.7
7,Jalen Brunson,NYK,61,35.4,26.3,9.1,18.7,0.49,2.3,6.0,0.384,5.7,7.0,0.825,0.4,2.6,3.0,7.4,1.0,0.1,2.5,2.2
8,Tyrese Maxey,PHL,52,37.7,26.3,9.2,21.0,0.437,3.1,9.2,0.337,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2
9,Cade Cunningham,DET,62,35.3,25.9,9.5,20.6,0.462,2.2,6.2,0.352,4.6,5.4,0.862,0.8,5.3,6.0,9.3,1.0,0.8,4.5,2.8
10,Devin Booker,PHX,60,37.5,25.9,8.6,18.8,0.457,2.7,7.7,0.346,6.0,6.8,0.889,1.0,3.1,4.1,6.8,1.0,0.2,2.8,2.7
11,Anthony Davis,DAL,43,34.2,25.7,9.5,18.0,0.528,0.7,2.2,0.313,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9
12,Damian Lillard,MIL,55,36.2,25.2,7.8,17.3,0.451,3.4,9.1,0.375,6.3,6.8,0.922,0.5,4.2,4.7,7.2,1.2,0.2,2.9,1.7
13,LeBron James,LAL,58,34.9,25.0,9.6,18.5,0.517,2.3,5.9,0.384,3.6,4.7,0.77,1.0,7.2,8.2,8.5,0.9,0.6,3.9,1.5
14,Kyrie Irving,DAL,50,36.1,24.7,8.9,18.9,0.473,2.9,7.2,0.401,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0
15,Stephen Curry,GOS,57,32.2,24.3,8.0,17.8,0.448,4.4,11.2,0.398,3.8,4.1,0.936,0.6,3.8,4.4,6.1,1.1,0.4,2.9,1.4
