#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Domantas Sabonis,SAC,57,35.2,19.4,7.6,12.9,0.592,1.0,2.4,0.425,3.2,4.2,0.751,3.9,10.2,14.1,6.3,0.6,0.4,3.0,3.4
2,Karl-Anthony Towns,NYK,58,35.1,24.2,8.7,16.6,0.524,2.1,4.9,0.422,4.7,5.7,0.833,3.0,10.1,13.2,3.1,1.0,0.7,2.6,3.5
3,Nikola Jokic,DEN,61,36.5,29.0,11.0,19.2,0.576,1.9,4.5,0.422,5.0,6.2,0.803,2.9,10.0,12.8,10.3,1.8,0.7,3.3,2.3
4,Ivica Zubac,LAC,65,32.7,16.2,7.2,11.5,0.625,0.0,0.0,0.0,1.8,2.8,0.636,3.7,8.8,12.4,2.5,0.7,1.2,1.6,2.2
5,Walker Kessler,UTA,50,30.4,11.5,5.0,6.9,0.725,0.0,0.1,0.333,1.5,2.8,0.536,4.7,7.6,12.3,1.6,0.6,2.5,1.5,2.2
6,Giannis Antetokounmpo,MIL,53,33.9,30.5,12.2,20.2,0.603,0.2,0.8,0.182,6.1,10.2,0.594,2.3,9.8,12.1,5.9,0.8,1.2,3.3,2.4
7,Anthony Davis,DAL,43,34.2,25.7,9.5,18.0,0.528,0.7,2.2,0.313,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9
8,Victor Wembanyama,SAS,46,33.2,24.3,8.9,18.6,0.476,3.1,8.8,0.352,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3
9,Rudy Gobert,MIN,58,33.0,11.1,4.3,6.6,0.655,0.0,0.0,0.0,2.4,3.6,0.681,3.5,6.9,10.4,1.8,0.7,1.5,1.3,2.4
10,Jalen Duren,DET,64,25.9,11.5,4.8,6.8,0.699,0.0,0.0,0.0,2.0,2.9,0.689,3.5,6.9,10.4,2.5,0.8,1.2,1.8,3.2
11,Alperen Sengun,HOU,63,31.4,19.2,7.5,15.0,0.501,0.3,1.3,0.244,3.8,5.5,0.693,3.4,7.0,10.4,4.9,1.1,0.8,2.6,2.9
12,Jarrett Allen,CLE,66,28.6,13.6,5.5,7.9,0.702,0.0,0.0,0.0,2.5,3.4,0.746,2.7,7.5,10.2,2.0,1.0,1.0,1.2,1.5
13,Nikola Vucevic,CHI,58,31.8,18.8,7.7,14.4,0.534,1.7,4.5,0.386,1.7,2.1,0.811,2.3,7.9,10.2,3.3,0.8,0.6,1.7,2.4
14,Deandre Ayton,POR,40,30.1,14.4,6.6,11.7,0.566,0.2,0.8,0.188,1.0,1.5,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2
15,Jalen Johnson,ATL,36,35.7,18.9,7.5,15.1,0.5,1.2,3.9,0.312,2.6,3.5,0.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9
16,Bam Adebayo,MIA,64,34.5,17.5,6.8,13.8,0.488,0.8,2.6,0.308,3.2,4.2,0.756,2.5,7.5,10.0,4.4,1.3,0.7,2.1,2.2
17,Josh Hart,NYK,62,37.9,14.5,5.5,10.3,0.539,1.1,3.3,0.337,2.3,2.9,0.792,2.2,7.6,9.8,5.6,1.4,0.4,2.1,2.6
18,Jakob Poeltl,TOR,51,29.9,14.1,6.2,10.0,0.614,0.0,0.0,0.0,1.8,2.6,0.681,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.2
19,Evan Mobley,CLE,59,30.3,18.6,7.2,12.6,0.568,1.1,3.0,0.369,3.2,4.3,0.742,2.3,7.1,9.3,3.1,0.8,1.6,2.0,2.0
20,Jayson Tatum,BOS,62,36.6,27.3,9.3,20.4,0.455,3.6,10.3,0.355,5.1,6.3,0.81,0.7,8.1,8.8,5.8,1.1,0.5,3.0,2.2
21,Nick Richards,PHX,46,22.1,9.5,3.6,6.0,0.598,0.0,0.0,0.0,2.3,3.1,0.729,2.5,6.1,8.6,1.0,0.2,1.0,1.4,2.5
22,Clint Capela,ATL,55,21.4,8.9,4.0,7.1,0.559,0.0,0.0,0.0,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9
