TEAM,dEFF,Ranking
Oklahoma City,107.2,1
Houston,109.7,2
Orlando,109.8,3
LA Clippers,110.3,4
Minnesota,111.3,5
Cleveland,111.3,6
Boston,111.5,7
Golden State,111.9,8
Detroit,112.4,9
Memphis,112.5,10
Milwaukee,112.7,11
Miami,113.5,12
LA Lakers,113.7,13
New York,114.6,14
Indiana,115.1,15
Portland,115.4,16
Toronto,115.5,17
Atlanta,115.5,18
Charlotte,115.5,19
Sacramento,115.6,20
Dallas,115.8,21
Denver,115.9,22
Brooklyn,115.9,23
Chicago,116.4,24
San Antonio,116.9,25
Philadelphia,117.3,26
Phoenix,118.3,27
Washington,118.6,28
New Orleans,119.4,29
Utah,119.4,30
