TEAM_2,dEFF_2,Ranking
Houston,105.1,1
New York,107.5,2
Toronto,108.5,3
Orlando,109.6,4
Chicago,109.7,5
LA Clippers,109.7,6
Minnesota,109.7,7
Cleveland,110.1,8
Detroit,110.2,9
Memphis,111.2,10
Golden State,112.2,11
Portland,114.0,12
Indiana,115.1,13
Oklahoma City,115.4,14
Milwaukee,115.7,15
Boston,115.8,16
Atlanta,117.1,17
Phoenix,117.6,18
Utah,117.9,19
LA Lakers,118.3,20
Philadelphia,118.7,21
Miami,118.7,22
Washington,119.4,23
Brooklyn,119.9,24
Charlotte,120.8,25
Denver,124.9,26
New Orleans,125.0,27
Sacramento,125.8,28
Dallas,128.4,29
San Antonio,131.0,30
