RANK,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SoS,rSoS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK,RANK_2,TEAM_2,CONF_2,DIVISION_2,GP_2,PPG_2,oPPG_2,pDIFF_2,PACE_2,oEFF_2,dEFF_2,eDIFF_2,SoS_2,rSoS_2,SAR_2,CONS_2,A4F_2,W_2,L_2,WIN%_2,eWIN%_2,pWIN%_2,ACH_2,STRK_2
,Atlanta,East,Southeast,68,117.1,119.6,-2.5,103.0,113.0,115.5,-2.5,0.02,-1.2,-2.48,12.4,0.252,32,36,0.471,0.42,0.418,0.051,-2,,Atlanta,East,Southeast,5,117.4,118.8,-1.4,101.6,115.6,117.1,-1.6,-5.13,0.02,-6.73,14.4,-0.027,3,2,0.6,0.456,0.454,0.144,-2
,Boston,East,Atlantic,68,116.6,108.2,8.4,96.3,120.2,111.5,8.7,-0.72,-2.69,7.98,15.1,0.2,49,19,0.721,0.717,0.777,0.004,2,,Boston,East,Atlantic,5,111.0,106.2,4.8,92.0,121.0,115.8,5.2,-1.32,-2.3,3.88,7.6,0.006,4,1,0.8,0.752,0.658,0.048,2
,Brooklyn,East,Atlantic,68,105.6,111.7,-6.1,95.9,109.6,115.9,-6.3,0.6,-1.23,-5.7,14.0,0.218,23,45,0.338,0.326,0.299,0.012,1,,Brooklyn,East,Atlantic,5,112.0,112.4,-0.4,94.1,119.3,119.9,-0.5,2.5,0.94,2.0,6.0,0.006,2,3,0.4,0.467,0.487,-0.067,1
,Charlotte,East,Southeast,67,105.7,113.4,-7.7,97.7,107.7,115.5,-7.8,0.01,0.91,-7.79,13.1,0.191,17,50,0.254,0.276,0.246,-0.022,-1,,Charlotte,East,Southeast,5,110.6,116.8,-6.2,96.5,114.5,120.8,-6.3,0.39,2.04,-5.91,19.0,-0.012,3,2,0.6,0.37,0.296,0.23,-1
,Chicago,East,Central,67,116.6,120.1,-3.5,102.7,113.0,116.4,-3.4,0.46,-0.57,-2.94,14.7,0.25,28,39,0.418,0.408,0.385,0.01,-1,,Chicago,East,Central,5,118.0,112.4,5.6,102.7,115.1,109.7,5.3,0.46,1.54,5.76,7.2,0.038,4,1,0.8,0.77,0.684,0.03,-1
,Cleveland,East,Central,67,122.5,111.5,11.0,100.0,122.3,111.3,11.0,-2.0,0.33,9.0,12.9,0.35,56,11,0.836,0.804,0.862,0.032,-1,,Cleveland,East,Central,5,115.0,110.6,4.4,100.4,114.4,110.1,4.3,0.02,0.34,4.32,6.7,-0.003,4,1,0.8,0.739,0.645,0.061,-1
,Dallas,West,Southwest,69,114.7,115.1,-0.4,99.1,115.4,115.8,-0.4,-0.47,0.63,-0.87,15.3,0.241,33,36,0.478,0.49,0.487,-0.012,-3,,Dallas,West,Southwest,5,117.2,128.6,-11.4,100.2,117.0,128.4,-11.4,-0.89,1.32,-12.29,15.3,-0.025,1,4,0.2,0.228,0.125,-0.028,-3
,Denver,West,Northwest,68,121.2,116.9,4.3,100.1,120.2,115.9,4.3,-0.18,0.92,4.12,15.2,0.262,43,25,0.632,0.611,0.642,0.021,-1,,Denver,West,Northwest,5,118.4,124.2,-5.8,99.4,118.9,124.9,-6.0,3.4,2.1,-2.6,16.3,-0.004,2,3,0.4,0.356,0.309,0.044,-1
,Detroit,East,Central,68,114.8,113.2,1.6,100.1,114.1,112.4,1.7,-0.66,1.31,1.04,13.1,0.318,37,31,0.544,0.552,0.553,-0.008,-2,,Detroit,East,Central,5,116.8,114.4,2.4,103.8,112.6,110.2,2.4,-2.89,-3.42,-0.49,10.9,0.014,2,3,0.4,0.587,0.579,-0.187,-2
,Golden State,West,Pacific,67,113.5,110.9,2.6,99.0,114.5,111.9,2.6,-0.03,0.08,2.57,16.7,0.34,39,28,0.582,0.562,0.586,0.02,7,,Golden State,West,Pacific,5,118.6,109.4,9.2,97.5,121.7,112.2,9.4,-1.74,-1.6,7.66,10.2,0.03,5,0,1.0,0.821,0.803,0.179,5
,Houston,West,Southwest,68,113.2,108.7,4.5,98.7,114.3,109.7,4.6,-0.17,1.23,4.43,12.9,0.216,43,25,0.632,0.64,0.648,-0.008,6,,Houston,West,Southwest,5,120.8,103.0,17.8,97.8,123.2,105.1,18.1,-5.92,-0.76,12.18,14.4,0.037,5,0,1.0,0.896,1.0,0.104,5
,Indiana,East,Central,66,116.3,115.3,1.0,99.7,116.1,115.1,1.0,-0.22,-0.86,0.78,14.4,0.21,37,29,0.561,0.528,0.533,0.033,-1,,Indiana,East,Central,5,113.4,116.2,-2.8,101.0,112.7,115.1,-2.4,-1.33,-1.28,-3.73,10.7,-0.03,2,3,0.4,0.412,0.408,-0.012,-1
,LA Clippers,West,Pacific,68,111.4,108.4,3.0,97.7,113.4,110.3,3.1,-0.15,1.26,2.95,17.5,0.26,38,30,0.559,0.57,0.599,-0.011,3,,LA Clippers,West,Pacific,5,118.8,105.4,13.4,94.3,123.7,109.7,14.0,-2.86,4.4,11.14,17.4,0.061,4,1,0.8,0.789,0.941,0.011,3
